,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
4709,10819,314,3240,7265,241,15,118
4710,2391,141,1595,655,76,1,26
4711,12799,59,2812,9928,576,9,130
4712,80463,1688,28923,49852,4065,67,1813
4713,178165,4767,69257,104141,8126,133,750
4714,18997,966,4063,13968,359,6,84
4715,24395,1092,11726,11577,230,18,277
4716,32895,1436,19869,11590,195,12,317
4717,60259,43,36036,24180,1826,3,2599
4718,19517,1288,13526,4703,119,12,100
4719,423186,5031,186602,231553,8858,182,11088
4720,384,2,269,113,7,1,7
4721,89011,549,65790,22672,1869,24,1484
4722,3836,43,1954,1839,97,1,96
4723,11454,245,6766,4443,24,1,40
4724,35812,755,18313,16744,1455,50,1022
4725,11590,273,10467,850,49,1,21
4726,5310,307,1625,3378,137,9,103
4727,3083,58,2966,59,1,1,1
4728,165555,4585,129921,31049,786,22,974
4729,1837374,107169,463868,1266337,20895,1033,5637
4730,24895,733,10461,13701,333,9,408
4731,35788,269,18726,16793,596,3,388
4732,260453,39530,1224,219699,1470,327,3
4733,1819,18,334,1467,157,1,32
4734,399,87,15,297,45,3,1
4735,17267,294,1522,15451,758,24,72
4736,9733,673,6218,2842,107,6,151
4737,19268,583,5896,12789,949,14,187
4738,10524,170,3454,6900,515,12,27
4739,16771,670,15672,429,12,1,43
4740,6260,76,3665,2519,325,5,101
4741,12815,20,7410,5385,504,1,3
4742,55140,746,11590,42804,2695,37,470
4743,45116,248,20171,24697,861,5,976
4744,58685,9522,15959,33204,70,17,25
4745,11638,400,1507,9731,647,24,209
4746,584016,32548,238617,312851,28633,1349,14979
4747,2560,146,1206,1208,22,2,83
4748,137490,1275,90748,45467,4942,87,4575
4749,33354,1045,11171,21138,1521,36,1482
4750,3495,75,492,2928,169,3,10
4751,3110,35,1530,1545,86,2,29
4752,9438,325,6749,2364,74,2,63
4753,3935,26,1636,2273,156,1,29
4754,18040,516,11224,6300,288,1,149
4755,28615,1088,7350,20177,1079,36,523
4756,2705,51,1186,1468,52,2,26
4757,1880,69,1650,161,10,1,18
4758,1486,17,246,1223,142,3,15
4759,188934,29024,69573,90337,352,81,643
4760,184121,8602,167453,8066,242,39,844
4761,5760,143,929,4688,174,20,105
4762,5690,234,617,4839,163,9,54
4763,3931,534,2190,1207,10,2,30
4764,216824,6088,104071,106665,9633,259,3786
4765,28233,1698,8406,18129,684,35,471
4766,160696,8012,125206,27478,3134,70,2129
4767,8168,256,4095,3817,781,21,587
4768,25111,1659,22698,754,45,1,609
4769,17377,291,14983,2103,92,1,43
4770,233836,33601,160938,39297,321,71,846
4771,591,10,361,220,1,1,5
4772,16867,905,14702,1260,30,3,117
4773,12067,48,6240,5779,496,4,299
4774,2216,74,553,1589,123,3,54
4775,29359,230,15750,13379,710,4,1469
4776,1871,20,1265,586,26,3,46
4777,1386,79,788,519,35,1,19
4778,745,34,57,654,77,3,2
4779,101238,11729,72680,16829,3912,1092,2931
4780,8795,310,4863,3622,247,3,125
4781,2300,9,278,2013,201,1,12
4782,11166,315,3329,7522,347,1,89
4783,2492,145,1605,742,101,4,10
4784,13537,67,2845,10625,738,8,33
4785,85264,1770,30128,53366,4801,82,1205
4786,14609,357,9519,4733,514,5,5
4787,178914,4894,72319,101701,749,127,3062
4788,19748,974,4153,14621,751,8,90
4789,24687,1115,12014,11558,292,23,288
4790,33261,1447,20079,11735,366,11,210
4791,62160,45,37542,24573,1901,2,1506
4792,19669,1296,13800,4573,152,8,274
4793,431715,5208,195559,230948,8529,177,8957
4794,91182,579,68159,22444,2171,30,2369
4795,3932,45,2063,1824,96,2,109
4796,909,47,491,371,13,1,11
4797,37525,792,19682,17051,1713,37,1369
4798,5499,314,1711,3474,189,7,86
4799,30893,1921,28600,372,19,1,100
4800,4191,48,2347,1796,91,1,130
4801,166422,4609,130852,30961,867,24,931
4802,1857332,108159,479258,1269915,19958,990,15390
4803,25385,742,10838,13805,490,9,377
4804,36359,270,19153,16936,571,1,427
4805,261802,39895,1212,220695,1349,365,-12
4806,3843,16,3014,813,83,1,106
4807,419,95,17,307,20,8,2
4808,18054,300,1585,16169,787,6,63
4809,9831,681,6297,2853,98,8,79
4810,20197,608,5993,13596,929,25,97
4811,11221,176,3468,7577,697,6,14
